Kode_Bahan,Sumber,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
AR001,KZGMI-2001,"Beras giling, mentah",Serealia,Tunggal/Single,12,357,8.4,1.7,77.1,0.2,0.147,0.081,0.0018,0.027,0.071,0.0001,0.0002,0.0001,0
AR002,KZGPI- 1990,"Beras giling var pelita, mentah",Serealia,Tunggal/Single,11.4,369,9.5,1.4,77.1,0.4,0.068,0.171,0.0014,0.034,0,0,0.0003,0,0
AR003,KZGPI- 1990,"Beras giling var rojolele, mentah",Serealia,Tunggal/Single,12,357,8.4,1.7,77.1,0.2,0.147,0.081,0.0018,0.034,0.1129,0.0001,0.0002,0,0
AR004,KZGMI-2001,"Beras hitam, mentah",Serealia,Tunggal/Single,12.9,351,8,1.3,76.9,20.1,0.006,0.198,0.0001,0.015,0.105,0.0001,0.0002,0.0001,0
AR005,KZGMI-2001,"Beras jagung kuning, kering, mentah",Serealia,Tunggal/Single,10.8,358,5.5,0.1,82.7,10,0.02,0.09,0.0014,0.001,0.08,0.0001,0.0001,0.0001,0.003
AR006,KZGMI-2001,"Beras jagung putih,kering, mentah",Serealia,Tunggal/Single,22.5,307,4.8,0.1,71.8,10,0.017,0.078,0.0012,0.001,0.07,0.0001,0.0002,0.0001,0
AR007,KZGPI- 1990,"Beras ketan hitam tumbuk, mentah",Serealia,Tunggal/Single,13.7,360,8,2.3,74.5,1,0.01,0.347,0.0062,0.011,0.288,0.0003,0.0002,0.0001,0
AR008,KZGPI- 1990,Beras ketan putih tumbuk,Serealia,Tunggal/Single,12.9,361,7.4,0.8,78.4,0.4,0.013,0.157,0.0034,0.003,0.282,0.0003,0.0003,0,0
AR009,KZGMI-2001,"Beras ladang, mentah",Serealia,Tunggal/Single,9.8,376,7.5,3.8,78,5.9,0.02,0.11,0.0008,0.01,0.07,0.0001,0.0002,0.0002,0
AR010,DABM-1964,"Beras menir, mentah",Serealia,Tunggal/Single,12,362,7.7,4.4,73,0.2,0.022,0.272,0.0037,0.09,0.201,0.0001,0.0006,0,0
AR011,DABM-1964,Beras parboiled,Serealia,Tunggal/Single,10,353,6.8,0.6,80,0.5,0.005,0.142,0.0008,0.002,0.046,0.0003,0.0002,0.0001,0
AR012,KZGMI-2001,"Beras tumbuk, mentah",Serealia,Tunggal/Single,11.5,354,7.8,0.4,79.9,3.8,0.003,0.112,0.0006,0.005,0.085,0.0005,0.0003,0.0002,0
AR013,KZGPI- 1990,"Beras tumbuk merah,",Serealia,Tunggal/Single,14.6,352,7.3,0.9,76.2,0.8,0.015,0.257,0.0042,0.01,0.202,0.0004,0.0003,0,0
AR014,DABM-1964,"Cantel, mentah",Serealia,Tunggal/Single,11,366,11,3.3,73,1.2,0.028,0.287,0.0044,0.007,0.249,0,0.0001,0.0001,0
AR015,KZGPI- 1990,"Jagung muda, kuning,",Serealia,Tunggal/Single,61.8,147,5.1,0.7,31.5,1.3,0.006,0.122,0.0011,0.005,0.0336,0.0001,0.0002,0.0001,0.009
AR016,KZGPI- 1990,"Jagung kuning pipil, kering",Serealia,Tunggal/Single,11.5,366,9.8,7.3,69.1,2.2,0.03,0.538,0.0023,0.005,0.0794,0.0001,0.0001,0.0001,0.003
AR017,KZGPI- 1990,"Jagung pipil var, harapan, kering",Serealia,Tunggal/Single,11.3,367,6.2,5.1,76.2,2.6,0.007,0.354,0.0028,0.001,0.0796,0.0001,0.0002,0.0001,0
AR018,KZGPI- 1990,"Jagung pipil var, metro, kering",Serealia,Tunggal/Single,10.6,368,5.5,4.6,78,2.9,0.007,0.3,0.0024,0.001,0.0802,0.0001,0.0002,0.0001,0
AR019,DABM-1964,"Jali, mentah",Serealia,Tunggal/Single,23,324,11,4,61,3.1,0.213,0.176,0.011,0,0.024,0,0.0001,0.0001,0
AR020,DABM-1964,"Jawawut, mentah",Serealia,Tunggal/Single,11.9,364,9.7,3.5,73.4,8.2,0.028,0.311,0.0053,0.007,0.2551,0.0005,0.0003,0.0003,0
AR021,DABM-1964,"Jampang huma,",Serealia,Tunggal/Single,11.7,350,6.2,1.4,78.2,1.7,0.329,0.254,0.0053,0.053,0.3967,0.0007,0.0005,0.0003,0
AP001,KZGPI- 1990,Nasi,Serealia,Olahan/Produk,56.7,180,3,0.3,39.8,0.2,0.025,0.027,0.0004,0.001,0.038,0.0001,0.0001,0.0001,0
AP002,OKN-1992,Nasi tim,Serealia,Olahan/Produk,71,120,2.4,0.4,26,0.5,0.003,0.007,0.0004,0,0.0239,0.0001,0.0001,0,0
AP003,KZGMI-2001,"Beras, tapai",Serealia,Olahan/Produk,75.5,99,1.7,0.3,22.4,0,0.004,0.019,0,0.026,0.002,0.0001,0,0,0
AP004,DABM-1964,"Beras, tepung, mentah",Serealia,Olahan/Produk,12,353,7,0.5,80,2.4,0.005,0.14,0.0008,0.005,0.241,0.0001,0.0001,0.0001,0
AP005,KZGPI- 1990,"Beras merah, Nasi",Serealia,Olahan/Produk,64,149,2.8,0.4,32.5,0.3,0.006,0.063,0.0008,0.005,0.0914,0.0002,0.0001,0,0
AP006,DABM-1964,"Bihun, mentah",Serealia,Olahan/Produk,12.9,348,4.7,0.1,82.1,1.2,0.006,0.035,0.0018,0.012,0.005,0.0001,0,0,0
AP007,KZGMS-1993,Bihun goreng instan,Serealia,Olahan/Produk,9,381,6.1,3.9,80.3,0,0.266,0.151,0.0029,0.928,0,0,0.0004,0,0
AP008,BKP,"Bihun Jagung, mentah",Serealia,Olahan/Produk,11.3,354,0.5,0.3,87.4,3,0.013,0.111,0.0006,0.049,0.0014,0.0004,0,0,0
AP009,BKP,"Jagung nasi, mentah",Serealia,Olahan/Produk,11,357,8.8,0.5,79.5,6.2,0.005,0.043,0.0006,0.002,0.0304,0.0001,0.0003,0,0
AP010,KZGPI- 1990,"Jagung muda, rebus",Serealia,Olahan/Produk,53.2,142,5,0.7,30.3,0.8,0.005,0.105,0.0008,0.005,0.0243,0.0002,0.0002,0,0
AP011,DABM-1964,"Jagung kuning, tepung",Serealia,Olahan/Produk,12,355,9.2,3.9,73.7,7.2,0.01,0.256,0.0024,0.011,0.0244,0.0002,0.0004,0,0
AP012,KZGPI- 1990,"Jagung kuning pipil,",Serealia,Olahan/Produk,63.7,154,3.8,3.5,28.4,0.7,0.007,0.171,0.0005,0.005,0.0564,0.0001,0.0001,0.0001,0
AP013,DABM-1964,"Jagung, tepung putih",Serealia,Olahan/Produk,12,355,9.2,3.9,73.7,7.2,0.01,0.256,0.0024,0.011,0.0244,0.0002,0.0004,0,0
AP014,KZGPI- 1990,"Ketan, ketupat",Serealia,Olahan/Produk,52,212,4,4.6,38.6,0.2,0.008,0.046,0.001,0,0,0,0.0001,0,0
AP015,KZGPI- 1990,"Ketan hitam, matang",Serealia,Olahan/Produk,56.9,181,4,1.2,37.3,0.3,0.009,0.144,0.0017,0.009,0.0184,0.0001,0.0001,0,0
AP016,KZGPI- 1990,"Ketan hitam, tapai",Serealia,Olahan/Produk,50.2,166,3.8,1,34.4,0.3,0.008,0.106,0.0016,0.005,0.012,0,0,0,0
AP017,KZGPI- 1990,"Ketan putih, matang",Serealia,Olahan/Produk,60.7,163,3,0.4,35.7,0.2,0.004,0.055,0.0007,0.008,0.0168,0.0001,0.0001,0,0
AP018,KZGPI- 1990,"Ketan putih, tapai",Serealia,Olahan/Produk,58.9,172,3,0.5,37.5,0.6,0.006,0.035,0.0005,0.001,0,0,0,0,0
AP019,DABM-1964,"Maizena, tepung",Serealia,Olahan/Produk,14,341,0.3,0,85,7,0.02,0.03,0.0015,0.006,0.009,0.0002,0,0.0001,0
AP020,DABM-1964,"Makaroni, mentah",Serealia,Olahan/Produk,11.7,353,8.7,0.4,78.7,4.9,0.02,0.08,0.0003,0.005,0,0.0003,0.0001,0.0001,0
AP021,DABM-1964,Mi basah,Serealia,Olahan/Produk,80,88,0.6,3.3,14,0.1,0.014,0.013,0.0068,0.063,0.0135,0.0001,0,0,0
AP022,KZGPI- 1990,Mi kering,Serealia,Olahan/Produk,10.6,339,10,1.7,6.3,0.4,0.031,0.143,0.0039,0.76,0.083,0.0003,0,0.0001,0
AP023,KZGPI- 1990,Misoa,Serealia,Olahan/Produk,10,345,8.5,2.2,78,0.5,0.052,0.12,0.0087,3.064,0.044,0.0001,0,0,0
AP024,DABM-1964,Roti putih,Serealia,Olahan/Produk,40,248,8,1.2,50,9.1,0.01,0.095,0.0015,0.53,0.091,0.0002,0.0001,0.0003,0
AP025,KZGPI- 1990,Tepung terigu,Serealia,Olahan/Produk,11.8,333,9,1,77.2,0.3,0.022,0.15,0.0013,0.002,0,0,0.0001,0.0001,0
AP026,KZGMI-2001,Amparan tatak,Serealia,Olahan/Produk,58.4,191,1.3,5.5,34,0,0,0,0,0,0,0,0,0,0
AP027,KZGMI-2001,"Apang kukus, kue",Serealia,Olahan/Produk,49.5,202,3,0.3,46.7,0,0,0,0,0,0,0,0,0,0
AP028,KZGMI-2001,"Apem, kue",Serealia,Olahan/Produk,63.1,148,2,0.5,33.9,0,0,0,0,0,0,0,0,0,0
AP029,DABM-1964,Biskuit,Serealia,Olahan/Produk,2.2,458,6.9,14.4,75.1,2.1,0.062,0.087,0.0027,0.241,0.0203,0.0002,0.0001,0.0002,0
AP030,KZGPI- 1990,"Bakpia, kue",Serealia,Olahan/Produk,38.9,272,8.7,6.7,44.1,0.9,0.194,0.117,0.0045,0,0,0,0.0003,0.001,0
AP031,KZGPI- 1990,Bakwan,Serealia,Olahan/Produk,40.5,280,8.2,10.2,39,3.4,0.204,0.079,0.007,0,0,0,0.0001,0,0
AP032,KZGMI-2001,Bantal,Serealia,Olahan/Produk,52.3,190,3.3,0.3,43.5,3.4,0.009,0,0.0004,0.164,0.084,0.0002,0.0003,0,0
AP033,KZGMI-2001,Baruasa,Serealia,Olahan/Produk,5.3,417,6.5,8.2,79.3,0,0,0,0,0,0,0,0,0,0
AP034,KZGMI-2001,Batar daan,Serealia,Olahan/Produk,75.3,107,2.2,2.2,19.6,0,0.02,0.03,0.0006,0.2,0,0.09,0.0002,0,0
AP035,KZGPI- 1990,Bika ambon,Serealia,Olahan/Produk,51.5,199,2.1,1.5,44.4,0.3,0.045,0.028,0.0018,0,0,0,0.0001,0,0
AP036,KZGMI-2001,Bingka,Serealia,Olahan/Produk,44.4,273,5.3,10.6,39.1,0,0,0,0,0,0,0,0,0,0
AP037,KZGMI-2001,Bobengka,Serealia,Olahan/Produk,46.3,225,5.3,2.6,45.2,0,0,0,0,0,0,0,0,0,0
AP038,KZGMI-2001,Bolu peca,Serealia,Olahan/Produk,55.6,197,3.3,4.6,35.6,0,0,0,0,0,0,0,0,0,0
AP039,KZGPI-1990,Brem,Serealia,Olahan/Produk,37.4,249,3.4,0.4,58,0,0.198,0.086,0.002,0,0,0,0.0003,0,0
AP040,KZGMI-2001,Bubur tinotuan,Serealia,Olahan/Produk,80.9,156,2.3,0.2,15.6,8.2,0.041,0.02,0.0004,0.486,0.164,0.0003,0.0001,0,0.015
AP041,KZGMI-2001,Cake tape,Serealia,Olahan/Produk,32.2,323,4.9,11.5,50.1,1.4,0.131,0.083,0.0026,0,0,0,0.0004,0.0002,0
AP042,KZGMI-2001,Cangkuning,Serealia,Olahan/Produk,57.5,204,2.8,7.5,31.4,0,0,0,0,0,0,0,0,0,0
AP043,KZGPI- 1990,Dodol bali,Serealia,Olahan/Produk,26.5,298,3.7,2.1,65.9,0.4,0.07,0.076,0.0025,0,0,0,0.0003,0,0
AP044,KZGMI-2001,Dodol galamai,Serealia,Olahan/Produk,16.5,348,0.4,3.8,76.1,0.5,0.041,0.144,0.0026,0.038,0.076,0.0003,0,0.0001,0
AP045,KZGPI- 1990,Dodol kedondong,Serealia,Olahan/Produk,26.4,331,1.9,7.6,63.8,1,0.09,0.055,0.0023,0,0,0,0.0001,0,0.005
AP046,KZGMI-2001,Dodol manado,Serealia,Olahan/Produk,26.1,373,4.3,16.5,51.9,0.4,0.041,0.142,0.0024,0.035,0.072,0.0003,0,0.0001,0
AP047,KZGMI-2001,Emping beras,Serealia,Olahan/Produk,13.6,403,10.6,2.2,85.3,0.2,0.011,0.24,0.0003,0.001,0.113,0.0003,0,0.0002,0
AP048,KZGPI- 1990,Gemblong,Serealia,Olahan/Produk,36.2,274,1.7,5.4,55.5,2.2,0.069,0.055,0.0033,0,0,0,0,0,0
AP049,KZGPI- 1990,Gendar goreng,Serealia,Olahan/Produk,30.4,407,6.4,28.2,32,0.1,0.216,0.062,0.0016,0,0,0,0.0002,0,0
AP050,KZGPI- 1990,Intip goreng,Serealia,Olahan/Produk,6.5,474,7.6,21.6,62.3,1.2,0.036,0.064,0.0025,0,0.038,0.0001,0.0003,0,0
AP051,KZGPI- 1990,Jagung gerontol,Serealia,Olahan/Produk,61.7,156,2.7,1.3,33.3,1,0.051,0.105,0.0012,0,0,0,0.0001,0,0
AP052,KZGPI- 1990,Jagung titi,Serealia,Olahan/Produk,9.2,374,9.4,2.2,79.1,0.8,0.014,0.142,0.0029,0,0,0.009,0.0002,0,0
AP053,KZGPI- 1990,Japilus,Serealia,Olahan/Produk,3.8,500,1.2,25.1,67.3,0.4,0.186,0.029,0.0049,0,0,0,0.0002,0,0
AP054,KZGMI-2001,Kakicak,Serealia,Olahan/Produk,43.9,296,3.4,15.1,36.7,0,0,0,0,0,0,0,0,0,0
AP055,KZGMI-2001,Kambose,Serealia,Olahan/Produk,61.5,164,3,2.4,32.6,4.3,0.016,0.036,0.0007,0,0.032,0.0001,0.0001,0.0001,0
AP056,KZGMI-2001,Kapusa,Serealia,Olahan/Produk,63.5,158,4.4,3.2,27.8,5.3,0.079,0.115,0.0012,0.104,0.149,0.0005,0.0001,0.0001,0
AP057,KZGMI-2001,Keddo bodong,Serealia,Olahan/Produk,33.9,290,4.6,5.7,55.2,0,0,0,0,0,0,0,0,0,0
AP058,KZGMI-2001,"Kelepon, kue",Serealia,Olahan/Produk,49.6,215,3.7,3.7,41.8,1,0.232,0.045,0.0033,0,0,0,0.0001,0.0001,0
AP059,KZGMI-2001,Kereput,Serealia,Olahan/Produk,3.5,580,4.8,39.6,51.1,0,0,0,0,0,0,0,0,0,0
AP060,KZGPI-1990,Ketoprak,Serealia,Olahan/Produk,69.1,153,7.9,7.7,13,2.9,0.153,0.134,0.0034,0,0,0,0.0001,0,0
AP061,KZGMI-2001,Ketupat kandangan,Serealia,Olahan/Produk,78.5,109,2.2,5.2,13.4,0,0,0,0,0,0,0,0,0,0
AP062,KZGMI-2001,Koya,Serealia,Olahan/Produk,13.2,366,4.2,4.3,77.5,0.8,0.153,0.222,0.007,0,0,0,0,0,0
AP063,KZGMI-2001,Koya mirasa,Serealia,Olahan/Produk,7.2,370,8,1,82.2,0.4,0.083,0.11,0.017,0,0,0,0.0002,0.0005,0
AP064,KZGMI-2001,Koyabu,Serealia,Olahan/Produk,44.2,241,3.4,4.3,47.2,0,0,0,0,0,0,0,0,0,0
AP065,KZGMI-2001,Kue ali,Serealia,Olahan/Produk,12.8,440,3.8,18.5,64.5,0.3,0.027,0.047,0.0025,0,0,0,0.0001,0.0001,0
AP066,KZGMI-2001,Kue bangen,Serealia,Olahan/Produk,5.6,442,3.3,14.7,74.2,0,0,0,0,0,0,0,0,0,0
AP067,KZGMI-2001,Kue gelang,Serealia,Olahan/Produk,7.1,448,5.8,16.1,70,0,0,0,0,0,0,0,0,0,0
AP068,KZGPI- 1990,Kue jahe,Serealia,Olahan/Produk,3.7,425,1.6,8.8,84.6,1.2,0.155,0.061,0.004,0,0,0,0.0002,0,0
AP069,KZGMI-2001,Kue kelapa,Serealia,Olahan/Produk,3.3,591,5.6,42.1,47.5,0,0.032,0.18,0.0016,0.033,0.443,0.0005,0,0,0
AP070,KZGMI-2001,Kue koa,Serealia,Olahan/Produk,14.5,340,4.8,0.4,79.3,0,0,0,0,0,0,0,0,0,0
AP071,KZGMI-2001,Kue ku temu,Serealia,Olahan/Produk,46.2,214,3.5,0.2,49.6,0,0,0,0,0,0,0,0,0,0
AP072,KZGMS-1993,Kue lumpur,Serealia,Olahan/Produk,40.1,291,3.6,11.1,44.1,0,0.096,0.06,0.0023,0,0,0,0.0002,0,0
AP073,KZGMI-2001,Kue pelita,Serealia,Olahan/Produk,71,141,5.3,5.5,17.6,0,0,0,0,0,0,0,0,0,0
AP074,KZGPI- 1990,Kue putu cangkir,Serealia,Olahan/Produk,32.6,304,5.3,7,54.9,0.9,0.018,0.193,0.004,0,0,0,0.0001,0,0
AP075,KZGMS-1993,Kue sus,Serealia,Olahan/Produk,56.6,221,7.5,10.2,24.8,0,0.105,0.085,0.0025,0,0,0,0.0001,0,0
AP076,KZGMI-2001,Kue thipan,Serealia,Olahan/Produk,43,247,2.9,4.2,49.5,0,0.016,0.107,0.0018,0.095,0.056,0.0013,0.0002,0,0
AP077,KZGMI-2001,Laksa/Putu mayang,Serealia,Olahan/Produk,73.2,121,1.7,3.4,21.1,0,0,0,0,0,0,0,0,0,0
AP078,KZGPI- 1990,Lapis legit,Serealia,Olahan/Produk,21.3,389,6.6,15.7,55.5,0.5,0.016,0.136,0.0019,0,0,0,0.0003,0.0001,0
AP079,KZGPI- 1990,Lupis ketan,Serealia,Olahan/Produk,61,164,1.8,2.1,34.5,0.7,0.119,0.031,0.0015,0,0,0,0.0001,0,0
AP080,KZGMI-2001,Manan samin,Serealia,Olahan/Produk,27.1,379,3.4,18.1,50.6,0,0,0,0,0,0,0,0,0,0
AP081,KZGMI-2001,Martabak india,Serealia,Olahan/Produk,65.8,153,4.5,4.2,24.3,0,0.014,0.108,0.0024,0.24,0.112,0.0004,0,0,0
AP082,KZGMI-2001,Martabak mesir,Serealia,Olahan/Produk,40.2,278,5.1,8.6,45,0,0.049,0.168,0.0034,0.193,0.123,0.0002,0,0,0
AP083,KZGMI-2001,Masekat,Serealia,Olahan/Produk,15.6,369,2.1,7,74.1,4,0.017,0.052,0.0008,0.141,0.012,0.0004,0,0,0
AP084,KZGMI-2001,Mie aceh rebus,Serealia,Olahan/Produk,74.6,113,3,3.2,18.1,0,0.022,0.044,0.0014,0.191,0.036,0.0002,0,0,0
AP085,KZGMS-1993,Mie ayam,Serealia,Olahan/Produk,78.6,102,6.2,3.9,10.5,0,0.262,0.051,0.0018,0.279,0,0,0.0009,0,0
AP086,KZGMS-1993,Mie bakso,Serealia,Olahan/Produk,74.5,114,5.3,3,16.4,0.1,0.286,0.053,0.0019,0.76,0,0,0.0002,0,0
AP087,KZGMI-2001,Mie celon,Serealia,Olahan/Produk,75.9,102,3,2.1,17.8,0,0.012,0.084,0.0014,0.451,0.112,0.0001,0,0,0
AP088,KZGMS-1993,Mie pangsit basah,Serealia,Olahan/Produk,79.2,105,5.9,4.9,9.4,0,0.208,0.048,0.002,0.53,0,0,0.0005,0,0
AP089,KZGMI-2001,Nasi gemuk,Serealia,Olahan/Produk,61.4,192,3.8,8.8,24.4,0.7,0.015,0.074,0.001,0.355,0.063,0.0002,0.0002,0.0001,0
AP090,KZGMI-2001,Nasi gurih,Serealia,Olahan/Produk,60.5,190,4.7,7.5,26,0.7,0.012,0.062,0.0008,0.296,0.052,0.0002,0.0001,0.0001,0
AP091,KZGMI-2001,Nasi minyak,Serealia,Olahan/Produk,53.3,207,3.5,5,37.1,0.8,0.026,0.1,0.0015,0.074,0.174,0.0002,0.0001,0.0001,0
AP092,KZGMS-1993,Nasi rames,Serealia,Olahan/Produk,65.8,155,10.3,4.2,19.1,0,0.239,0.062,0.0018,0.265,0,0,0.0006,0,0
AP093,KZGPI- 1990,Nopia spesial,Serealia,Olahan/Produk,11.5,387,5.3,7.6,74.3,0.3,0.903,0.133,0.0042,0,0,0,0.0002,0,0
AP094,KZGMI-2001,Onde-onde,Serealia,Olahan/Produk,27.7,336,4,9.8,57.9,0,0,0,0,0,0,0,0,0,0
AP095,KZGMI-2001,Padamaran,Serealia,Olahan/Produk,67.6,171,3.9,8.9,18.8,0,0,0,0,0,0,0,0,0,0
AP096,KZGMS-1993,Pastel,Serealia,Olahan/Produk,38.3,307,4.5,13.3,42.4,0,0.296,0.053,0.0025,0,0,0,0.0002,0,0
AP097,KZGMI-2001,Pulut,Serealia,Olahan/Produk,49.1,216,2.6,3.1,44.4,0,0.006,0.07,0.0038,0.1,0.022,0.0004,0.0001,0,0
AP098,KZGMI-2001,Pundut nasi,Serealia,Olahan/Produk,77.8,104,1.9,4.1,15.1,0.4,0.026,0.1,0.0015,0.074,0.174,0,0,0,0
AP099,KGZMI-2001,Putri hijau,Serealia,Olahan/Produk,54.8,189,5.4,2.1,37.2,0,0,0,0,0,0,0,0,0,0
AP100,KZGMI-2001,Putri selat,Serealia,Olahan/Produk,66.6,163,2.2,6.5,23.8,0,0.072,0.003,0.004,0.006,0.068,0,0,0,0
AP101,KZGMI-2001,Putu sopa,Serealia,Olahan/Produk,50.7,215,3.3,4.1,41.1,0,0,0,0,0,0,0,0,0,0
AP102,KZGMI-2001,Renggi goreng,Serealia,Olahan/Produk,8.8,471,4.7,21.8,64.1,6.4,0.004,0.08,0.0011,0.126,0.029,0.0009,0.0005,0.0001,0
AP103,KZGMI-2001,Roti boong,Serealia,Olahan/Produk,34,341,5.5,16.2,43.3,0,0.015,0.065,0.0011,0.161,0.041,0,0.0004,0.0003,0
AP104,DABM-1964,Roti warna sawo,Serealia,Olahan/Produk,40,249,7.9,1.5,49.7,0,0.02,0.14,0.0025,0.5,0.091,0,0.0002,0,0
AP105,KZGMI-2001,Sarimuka,Serealia,Olahan/Produk,61.5,166,2.3,2.8,32.9,0,0.036,0.013,0.002,0.003,0.034,0,0,0,0
AP106,KZGMS-1993,Spaghetti,Serealia,Olahan/Produk,66.1,139,7.4,2.1,22.6,0,0.109,0.053,0.0047,0,0,0,0.0004,0,0
AP107,KZGMI-2001,Srikaya ketan,Serealia,Olahan/Produk,41,265,2.7,6.4,49.1,0,0,0,0,0,0,0,0,0,0
AP108,KZGMI-2001,Sunduk lawang,Serealia,Olahan/Produk,63.4,181,1.9,1.3,32.4,0,0,0,0,0,0,0,0,0,0
AP109,KZGPI- 1990,Suwir-suwir,Serealia,Olahan/Produk,13.4,347,0.5,0.9,84.2,0.8,0.042,0.04,0.0043,0,0,0,0.0001,0,0
AP110,KZGPI- 1990,Tipa-tipa,Serealia,Olahan/Produk,11.3,355,6.2,1.2,79.8,1.3,0.017,0.328,0.0016,0,0,0,0.0003,0,0
AP111,KZGPI- 1990,Wajit camilan,Serealia,Olahan/Produk,27.1,303,6.3,2.7,63.3,6.9,0.061,0.302,0.0055,0,0,0,0,0,0
AP112,KZGPI- 1990,Widaran,Serealia,Olahan/Produk,7,424,1.3,10.7,80.7,0.2,0.049,0.088,0.0025,0,0,0,0.0001,0.0002,0
AP113,KZGPI- 1990,Wingko babat,Serealia,Olahan/Produk,29.7,355,3.2,15.1,51.4,2.4,0.047,0.063,0.0011,0,0,0,0.0001,0.0001,0
AP114,KZGPI- 1990,Yangko,Serealia,Olahan/Produk,37.4,254,3,1.1,58.1,0.8,0.184,0.024,0.0026,0,0,0,0.0002,0,0
BR001,KZGPI- 1990,"Arrowroot, segar",Umbi Berpati,Tunggal/Single,73.5,102,1,0.2,24.1,1.7,0.028,0.035,0.0017,0.036,0.6266,0.0002,0.0001,0.0001,0.002
BR002,KZGMI-2001,"Batatas gembili, segar",Umbi Berpati,Tunggal/Single,76.7,76,1.1,0.9,16,4.2,0,0.04,0.0002,0.01,0.2,0.0002,0.0001,0,0
BR003,KZGMI-2001,"Batatas kelapa, ubi,",Umbi Berpati,Tunggal/Single,76.1,89,1.1,0.1,21,4,0,0.04,0.0002,0.02,0.34,0.0001,0.0004,0,0
BR004,KZGPI- 1990,"Belitung, talas, segar",Umbi Berpati,Tunggal/Single,63.1,145,1.2,0.4,34.2,1.5,0.026,0.054,0.0014,0.006,0.5361,0.0002,0.0001,0.0001,0.002
BR005,DABM- 1964,"Bengkuang, segar",Umbi Berpati,Tunggal/Single,85.1,59,1.4,0.2,12.8,1,0.015,0.018,0.0006,0.002,0.2443,0.0001,0,0.0001,0.02
BR006,KZGPI- 1990,"Bentul (Komba), talas,",Umbi Berpati,Tunggal/Single,75.8,98,1.6,0.7,20.9,0.7,0.044,0.066,0.0015,0,0.1955,0.0002,0,0.0001,0
BR007,KZGMI-2001,"Gadeng/Gadung,",Umbi Berpati,Tunggal/Single,20.2,322,2.4,0.6,76.6,0,0.039,0.022,0.0022,0.005,0.002,0.0005,0.0005,0,0
BR008,KZGPI- 1990,"Gadung, ubi, segar",Umbi Berpati,Tunggal/Single,74.4,100,0.9,0.3,23.5,2.1,0.079,0.066,0.0009,0.008,0.6872,0.0002,0.0002,0,0.002
BR009,KZGPI- 1990,"Ganyong, segar",Umbi Berpati,Tunggal/Single,79.9,77,0.6,0.2,18.4,0.8,0.015,0.067,0.001,0,0,0,0.0001,0,0.009
BR010,KZGPI- 1990,"Gembili, ubi, segar",Umbi Berpati,Tunggal/Single,66.4,131,1.1,0.2,31.3,1.1,0.014,0.056,0.0006,0.01,0.2,0.0002,0.0001,0,0.004
BR011,KZGMI-2001,"Hofa/Ubi hutan, segar",Umbi Berpati,Tunggal/Single,67.9,127,1.2,0.5,29.5,3.4,0.03,0.008,0.0007,0.003,0.004,0.0001,0.0003,0.0001,0
BR012,KZGPI- 1990,"Kaburan, ubi, segar",Umbi Berpati,Tunggal/Single,66.5,133,1,0.2,32.2,0.7,0.065,0.05,0.0006,0.01,0.8992,0.0002,0,0,0
BR013,KZGPI- 1990,"Kentang, segar",Umbi Berpati,Tunggal/Single,83.4,62,2.1,0.2,13.5,0.5,0.063,0.058,0.0007,0.007,0.396,0.0004,0.0001,0.0001,0.021
BR014,DABM- 1964,"Kentang hitam, segar",Umbi Berpati,Tunggal/Single,64,142,0.9,0.4,33.7,5.4,0.034,0.075,0.0002,0.022,0.8903,0.0009,0,0.0001,0.038
BR015,KZGPI- 1990,"Keribang, ubi, segar",Umbi Berpati,Tunggal/Single,67,137,1.3,1.1,29.8,0.6,0.045,0.056,0.0008,0.01,0.8858,0.0002,0,0,0
BR016,KZGPI- 1990,Ketela pohon/singkong,Umbi Berpati,Tunggal/Single,61.4,154,1,0.3,36.8,0.9,0.077,0.024,0.0011,0.002,0.394,0.0003,0.0001,0.0001,0.031
BR017,KZGMI-2001,Lepok/Ubi rumput,Umbi Berpati,Tunggal/Single,55.3,181,2.8,1.2,39.8,10.7,0.007,0.05,0.0031,0.116,0.306,0.0016,0.0003,0.0001,0
BR018,KZGPI- 1990,"Sagu aren, kering",Umbi Berpati,Tunggal/Single,11.9,355,0.6,1.1,85.6,0.3,0.091,0.167,0.0022,0.002,0.2,0,0,0.0001,0
BR019,KZGMI-2001,"Sagu aren, segar",Umbi Berpati,Tunggal/Single,42.5,231,0.6,0.2,56.6,3.2,0.02,0.02,0.0001,0.007,0,0.0001,0.0002,0,0
BR020,KZGMI-2001,Sagu kasbi segar,Umbi Berpati,Tunggal/Single,42.5,230,0.6,0.2,56.5,3,0.02,0.001,0.0003,0.1,0.41,0.0001,0.0001,0,0
BR021,KZGMI-2001,Sagu lempeng,Umbi Berpati,Tunggal/Single,13.5,347,0.9,0.3,85.2,4.7,0.03,0.03,0.0002,0.011,0,0.0001,0.0003,0,0
BR022,DABM- 1964,"Sagu singkong, kering",Umbi Berpati,Tunggal/Single,12,362,0.5,0.3,86.9,0,0,0,0,0,0,0,0,0,0
